event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2013-09-09T13:34:20	POINT(59.61372 -451.3782)	POLYGON((-15.2019 -526.047,129.3726 -524.8032,138.7476 -372.0984,-16.30344 -373.425,-15.2019 -526.047))		POINT(3.82482 -20.9188)	POLYGON((-1.014165 -26.11595,8.663805 -26.11595,8.663805 -15.72165,-1.014165 -15.72165,-1.014165 -26.11595))			Forward-S Sigmoid	null	null	25.2908	null	null
SG	2013-09-09T14:04:20	POINT(64.0524 -450.9606)	POLYGON((-11.56596 -526.3902,134.1834 -525.042,143.9898 -370.8348,-12.4113 -372.273,-11.56596 -526.3902))		POINT(4.10935 -20.893)	POLYGON((-0.77174 -26.1399,8.99044 -26.1399,8.99044 -15.6461,-0.77174 -15.6461,-0.77174 -26.1399))			Forward-S Sigmoid	null	null	18.4778	null	null
SG	2013-09-10T04:04:20	POINT(-100.6056 -578.2278)	POLYGON((-139.9062 -618.222,-54.31134 -619.578,-57.88848 -536.2062,-149.1204 -534.7692,-139.9062 -618.222))		POINT(-6.97647 -30.0064)	POLYGON((-10.063555 -33.15116,-3.889385 -33.15116,-3.889385 -26.86164,-10.063555 -26.86164,-10.063555 -33.15116))			Forward-S Sigmoid	null	null	9.48799	null	null
SG	2013-09-10T15:04:20	POINT(-767.874 170.622)	POLYGON((-872.334 47.93376,-677.982 11.35374,-627.114 293.157,-806.964 326.6316,-872.334 47.93376))		POINT(-56.0582 14.4026)	POLYGON((-66.6661 5.7795,-45.4503 5.7795,-45.4503 23.0257,-66.6661 23.0257,-66.6661 5.7795))			Inverse-S Sigmoid	null	null	101.989	null	null
SG	2013-09-10T15:39:32	POINT(-763.818 168.828)	POLYGON((-867.762 47.41482,-674.874 11.75406,-625.074 290.1036,-803.814 322.7856,-867.762 47.41482))		POINT(-55.5851 14.3411)	POLYGON((-65.98285 5.82705,-45.18735 5.82705,-45.18735 22.85515,-65.98285 22.85515,-65.98285 5.82705))			Inverse-S Sigmoid	null	null	133.068	null	null
SG	2013-09-10T16:09:20	POINT(-759.48 169.3512)	POLYGON((-863.418 48.52908,-671.418 13.6257,-621.948 289.9998,-799.884 321.9936,-863.418 48.52908))		POINT(-55.1388 14.4186)	POLYGON((-65.37175 5.96465,-44.90585 5.96465,-44.90585 22.87255,-65.37175 22.87255,-65.37175 5.96465))			Inverse-S Sigmoid	null	null	26.0248	null	null
SG	2013-09-10T16:09:20	POINT(-245.5944 -326.5656)	POLYGON((-294.4902 -376.3086,-188.3442 -380.016,-193.5126 -275.3304,-302.5704 -271.5366,-294.4902 -376.3086))		POINT(-15.2667 -12.9693)	POLYGON((-18.701595 -16.309805,-11.831805 -16.309805,-11.831805 -9.628795,-18.701595 -9.628795,-18.701595 -16.309805))			Forward-S Sigmoid	null	null	8.45602	null	null
SG	2013-09-10T17:09:20	POINT(349.2606 -330.3822)	POLYGON((308.106 -370.8306,381.7644 -367.0134,389.8746 -289.0614,314.6526 -292.9482,308.106 -370.8306))		POINT(22.0453 -13.5001)	POLYGON((19.567915 -15.9908,24.522685 -15.9908,24.522685 -11.0094,19.567915 -11.0094,19.567915 -15.9908))			Forward-S Sigmoid	null	null	7.10029	null	null
SG	2013-09-10T17:39:20	POINT(355.7238 -330.015)	POLYGON((313.2342 -371.739,389.0874 -367.7226,397.6092 -287.364,320.0958 -291.4554,313.2342 -371.739))		POINT(22.4753 -13.4982)	POLYGON((19.91515 -16.06555,25.03545 -16.06555,25.03545 -10.93085,19.91515 -10.93085,19.91515 -16.06555))			Forward-S Sigmoid	null	null	10.4245	null	null
SG	2013-09-10T17:39:20	POINT(328.5942 -436.2168)	POLYGON((282.2544 -481.7478,360.477 -477.789,374.8326 -389.169,293.4966 -393.2718,282.2544 -481.7478))		POINT(21.4966 -20.4104)	POLYGON((18.75075 -23.39773,24.24245 -23.39773,24.24245 -17.42307,18.75075 -17.42307,18.75075 -23.39773))			Inverse-S Sigmoid	null	null	17.2287	null	null
SG	2013-09-10T18:09:20	POINT(-251.2098 -347.4372)	POLYGON((-298.7676 -395.883,-194.5308 -399.6396,-200.3634 -297.4788,-307.7238 -293.625,-298.7676 -395.883))		POINT(-15.7171 -14.3218)	POLYGON((-19.12117 -17.61109,-12.31303 -17.61109,-12.31303 -11.03251,-19.12117 -11.03251,-19.12117 -17.61109))			Inverse-S Sigmoid	null	null	31.3434	null	null
SG	2013-09-10T18:39:20	POINT(360.7626 -327.8352)	POLYGON((320.2056 -367.683,392.6298 -363.7878,400.7412 -287.148,326.8224 -291.1122,320.2056 -367.683))		POINT(22.799 -13.3754)	POLYGON((20.351835 -15.8218,25.246165 -15.8218,25.246165 -10.929,20.351835 -10.929,20.351835 -15.8218))			Forward-S Sigmoid	null	null	41.1361	null	null
SG	2013-09-10T18:39:20	POINT(-731.226 135.0162)	POLYGON((-775.038 89.055,-700.224 77.1234,-683.058 181.032,-756.042 192.6246,-775.038 89.055))		POINT(-51.6313 12.6714)	POLYGON((-55.31259 9.513455,-47.95001 9.513455,-47.95001 15.829345,-55.31259 15.829345,-55.31259 9.513455))			Forward-S Sigmoid	null	null	7.62756	null	null
SG	2013-09-10T20:39:20	POINT(375.6384 -330.8094)	POLYGON((335.8896 -369.8526,406.4142 -365.868,414.7866 -290.9556,342.81 -295.0104,335.8896 -369.8526))		POINT(23.822 -13.619)	POLYGON((21.41814 -16.01343,26.22586 -16.01343,26.22586 -11.22457,21.41814 -11.22457,21.41814 -16.01343))			Forward-S Sigmoid	null	null	10.3716	null	null
SG	2013-09-10T21:39:20	POINT(-220.6638 -345.6768)	POLYGON((-263.2746 -388.884,-171.2094 -391.7682,-175.6812 -301.2906,-270.15 -298.341,-263.2746 -388.884))		POINT(-13.7532 -14.142)	POLYGON((-16.7228 -17.051505,-10.7836 -17.051505,-10.7836 -11.232495,-16.7228 -11.232495,-16.7228 -17.051505))			Inverse-S Sigmoid	null	null	42.7728	null	null
SG	2013-09-10T22:39:20	POINT(-213.288 -347.025)	POLYGON((-256.659 -390.9918,-163.143 -393.819,-167.502 -301.8348,-263.5152 -298.9422,-256.659 -390.9918))		POINT(-13.289 -14.2142)	POLYGON((-16.301435 -17.173765,-10.276565 -17.173765,-10.276565 -11.254635,-16.301435 -11.254635,-16.301435 -17.173765))			Inverse-S Sigmoid	null	null	39.4433	null	null
SG	2013-09-10T23:09:20	POINT(-207.8274 -349.9758)	POLYGON((-253.0068 -395.7912,-155.637 -398.6586,-160.0362 -302.8212,-260.157 -299.883,-253.0068 -395.7912))		POINT(-12.9532 -14.3939)	POLYGON((-16.09083 -17.481535,-9.81557 -17.481535,-9.81557 -11.306265,-16.09083 -11.306265,-16.09083 -17.481535))			Inverse-S Sigmoid	null	null	14.6321	null	null
SG	2013-09-11T00:09:20	POINT(-197.901 -346.797)	POLYGON((-237.5388 -386.8866,-152.664 -389.2572,-156.351 -305.6988,-243.2754 -303.279,-237.5388 -386.8866))		POINT(-12.3118 -14.1707)	POLYGON((-15.030285 -16.85827,-9.593315 -16.85827,-9.593315 -11.48313,-15.030285 -11.48313,-15.030285 -16.85827))			Inverse-S Sigmoid	null	null	8.2074	null	null
SG	2013-09-11T00:14:20	POINT(-197.4456 -347.4)	POLYGON((-238.1346 -388.566,-150.9786 -390.9948,-154.737 -305.1684,-244.062 -302.6868,-238.1346 -388.566))		POINT(-12.2851 -14.2087)	POLYGON((-15.07808 -16.970025,-9.49212 -16.970025,-9.49212 -11.447375,-15.07808 -11.447375,-15.07808 -16.970025))			Inverse-S Sigmoid	null	null	7.09185	null	null
SG	2013-09-11T01:44:20	POINT(420.9966 -326.9076)	POLYGON((381.0636 -366.0438,450.9612 -361.5048,460.1382 -286.9692,388.8198 -291.5874,381.0636 -366.0438))		POINT(26.9071 -13.5445)	POLYGON((24.46342 -15.9239,29.35078 -15.9239,29.35078 -11.1651,24.46342 -11.1651,24.46342 -15.9239))			Forward-S Sigmoid	null	null	16.2858	null	null
SG	2013-09-11T01:44:20	POINT(396.3564 -437.0316)	POLYGON((342.459 -489.6012,429.5796 -484.0686,449.6178 -382.4424,358.437 -388.2114,342.459 -489.6012))		POINT(26.293 -20.727)	POLYGON((23.09893 -24.15607,29.48707 -24.15607,29.48707 -17.29793,23.09893 -17.29793,23.09893 -24.15607))			Inverse-S Sigmoid	null	null	19.5497	null	null
SG	2013-09-11T02:14:20	POINT(403.1946 -438.6438)	POLYGON((349.3194 -491.1684,435.9204 -485.5428,456.3924 -384.0954,365.7282 -389.9628,349.3194 -491.1684))		POINT(26.8098 -20.8671)	POLYGON((23.616825 -24.293725,30.002775 -24.293725,30.002775 -17.440475,23.616825 -17.440475,23.616825 -24.293725))			Inverse-S Sigmoid	null	null	6.28033	null	null
SG	2013-09-11T02:14:20	POINT(424.5924 -327.309)	POLYGON((382.8738 -368.151,455.7192 -363.3684,465.4332 -285.5916,391.0368 -290.4618,382.8738 -368.151))		POINT(27.1609 -13.5854)	POLYGON((24.60639 -16.068765,29.71541 -16.068765,29.71541 -11.102035,24.60639 -11.102035,24.60639 -16.068765))			Forward-S Sigmoid	null	null	26.4316	null	null
SG	2013-09-11T02:44:20	POINT(407.8332 -438.8634)	POLYGON((359.3088 -486.2784,437.3004 -481.1376,455.781 -389.8062,374.496 -395.1456,359.3088 -486.2784))		POINT(27.1506 -20.9028)	POLYGON((24.27342 -23.988345,30.02778 -23.988345,30.02778 -17.817255,24.27342 -17.817255,24.27342 -23.988345))			Inverse-S Sigmoid	null	null	7.36778	null	null
SG	2013-09-11T03:14:20	POINT(411.6564 -439.4088)	POLYGON((361.9506 -487.9392,441.564 -482.6262,460.7346 -389.1546,377.6682 -394.6788,361.9506 -487.9392))		POINT(27.4374 -20.9574)	POLYGON((24.48971 -24.116385,30.38509 -24.116385,30.38509 -17.798415,24.48971 -17.798415,24.48971 -24.116385))			Inverse-S Sigmoid	null	null	7.33098	null	null
SG	2013-09-11T03:44:20	POINT(414.8658 -438.1248)	POLYGON((362.883 -488.8122,445.9788 -483.2154,466.1346 -385.5612,379.2864 -391.3896,362.883 -488.8122))		POINT(27.6549 -20.8841)	POLYGON((24.57039 -24.1819,30.73941 -24.1819,30.73941 -17.5863,24.57039 -17.5863,24.57039 -24.1819))			Inverse-S Sigmoid	null	null	10.0807	null	null
SG	2013-09-11T04:14:20	POINT(419.1018 -436.8966)	POLYGON((366.6606 -488.0058,450.3504 -482.2986,470.7792 -383.8872,383.2962 -389.8314,366.6606 -488.0058))		POINT(27.9489 -20.8196)	POLYGON((24.834825 -24.140565,31.062975 -24.140565,31.062975 -17.498635,24.834825 -17.498635,24.834825 -24.140565))			Inverse-S Sigmoid	null	null	7.68151	null	null
SG	2013-09-11T04:44:20	POINT(423.027 -436.3056)	POLYGON((370.8486 -487.1526,453.9804 -481.416,474.4182 -383.583,387.5478 -389.5554,370.8486 -487.1526))		POINT(28.2296 -20.7975)	POLYGON((25.12918 -24.097875,31.33002 -24.097875,31.33002 -17.497125,25.12918 -17.497125,25.12918 -24.097875))			Inverse-S Sigmoid	null	null	7.86739	null	null
SG	2013-09-11T05:14:20	POINT(426.8538 -436.2624)	POLYGON((375.4236 -486.3864,457.2108 -480.6762,477.4926 -384.3174,392.0814 -390.2592,375.4236 -486.3864))		POINT(28.5115 -20.8126)	POLYGON((25.453905 -24.063265,31.569095 -24.063265,31.569095 -17.561935,25.453905 -17.561935,25.453905 -24.063265))			Inverse-S Sigmoid	null	null	6.25122	null	null
SG	2013-09-11T07:15:20	POINT(-649.572 126.9036)	POLYGON((-686.136 89.319,-623.322 81.6324,-610.944 164.5122,-672.516 172.0218,-686.136 89.319))		POINT(-44.1557 12.863)	POLYGON((-46.83056 10.35036,-41.48084 10.35036,-41.48084 15.37564,-46.83056 15.37564,-46.83056 10.35036))			Forward-S Sigmoid	null	null	8.52894	null	null
SG	2013-09-11T13:14:20	POINT(-634.908 90.6522)	POLYGON((-684.252 39.45396,-595.0656 29.13624,-581.6874 142.02,-668.874 152.0622,-684.252 39.45396))		POINT(-42.5068 10.8078)	POLYGON((-46.173165 7.401505,-38.840435 7.401505,-38.840435 14.214095,-46.173165 14.214095,-46.173165 7.401505))			Forward-S Sigmoid	null	null	13.7177	null	null
SG	2013-09-11T18:14:20	POINT(333.7026 -367.9806)	POLYGON((288.9222 -411.9774,367.7508 -408.0516,378.072 -322.8276,297.0324 -326.8506,288.9222 -411.9774))		POINT(21.2518 -15.8829)	POLYGON((18.57719 -18.65076,23.92641 -18.65076,23.92641 -13.11504,18.57719 -13.11504,18.57719 -18.65076))			Inverse-S Sigmoid	null	null	8.7688	null	null
SG	2013-09-11T18:14:20	POINT(-574.308 121.0182)	POLYGON((-617.628 76.6404,-541.4376 69.138,-528.846 165.4242,-603.27 172.725,-617.628 76.6404))		POINT(-38.0225 13.0016)	POLYGON((-40.97132 10.08827,-35.07368 10.08827,-35.07368 15.91493,-40.97132 15.91493,-40.97132 10.08827))			Forward-S Sigmoid	null	null	8.688	null	null
SG	2013-09-11T21:14:20	POINT(38.7324 -323.7384)	POLYGON((-3.40482 -365.751,79.8912 -365.3094,81.5892 -280.7568,-3.47718 -281.2062,-3.40482 -365.751))		POINT(2.37468 -12.5283)	POLYGON((-0.21114 -15.218445,4.9605 -15.218445,4.9605 -9.838155,-0.21114 -9.838155,-0.21114 -15.218445))			Inverse-S Sigmoid	null	null	18.9092	null	null
SG	2013-09-11T22:28:56	POINT(-538.9356 118.8096)	POLYGON((-579.1758 77.787,-508.0134 71.442,-497.1078 159.8556,-566.7456 166.0434,-579.1758 77.787))		POINT(-35.3158 13.0662)	POLYGON((-37.975745 10.39309,-32.655855 10.39309,-32.655855 15.73931,-37.975745 15.73931,-37.975745 10.39309))			Forward-S Sigmoid	null	null	14.9676	null	null
SG	2013-09-11T22:58:56	POINT(-555.1308 97.95)	POLYGON((-626.808 23.43414,-494.7708 11.18574,-477.5364 172.7064,-604.986 184.4556,-626.808 23.43414))		POINT(-36.33 11.7322)	POLYGON((-41.28756 6.859005,-31.37244 6.859005,-31.37244 16.605395,-41.28756 16.605395,-41.28756 6.859005))			Forward-S Sigmoid	null	null	8.15843	null	null
SG	2013-09-11T23:28:56	POINT(-553.9764 95.0448)	POLYGON((-625.62 20.57178,-493.3332 8.35032,-476.4114 169.7778,-604.17 181.5072,-625.62 20.57178))		POINT(-36.2167 11.565)	POLYGON((-41.17453 6.69618,-31.25887 6.69618,-31.25887 16.43382,-41.17453 16.43382,-41.17453 6.69618))			Forward-S Sigmoid	null	null	13.3615	null	null
SG	2013-09-11T23:58:56	POINT(165.4512 -199.3818)	POLYGON((125.6694 -238.7376,203.4732 -236.9958,204.9378 -159.4698,126.5736 -161.2182,125.6694 -238.7376))		POINT(9.9847 -4.89037)	POLYGON((7.60136 -7.262965,12.36804 -7.262965,12.36804 -2.517775,7.60136 -2.517775,7.60136 -7.262965))			Forward-S Sigmoid	null	null	15.2631	null	null
SG	2013-09-12T01:28:56	POINT(99.4884 -231.4134)	POLYGON((34.1058 -296.0052,162.258 -294.288,164.997 -165.114,34.68156 -166.8516,34.1058 -296.0052))		POINT(6.0047 -6.7864)	POLYGON((2.077515 -10.7725,9.931885 -10.7725,9.931885 -2.8003,2.077515 -2.8003,2.077515 -10.7725))			Forward-S Sigmoid	null	null	34.6983	null	null
SG	2013-09-12T03:28:56	POINT(616.194 -360.2784)	POLYGON((496.9938 -469.2666,672.714 -448.7136,722.1 -244.1562,533.5098 -266.0496,496.9938 -469.2666))		POINT(42.3112 -16.849)	POLYGON((34.50495 -23.48685,50.11745 -23.48685,50.11745 -10.21115,34.50495 -10.21115,34.50495 -23.48685))			Inverse-S Sigmoid	null	null	81.4796	null	null
SG	2013-09-12T03:58:56	POINT(589.6572 -416.1336)	POLYGON((545.5056 -458.8884,610.698 -451.5726,632.244 -372.1512,564.7542 -379.7028,545.5056 -458.8884))		POINT(41.1399 -20.4256)	POLYGON((38.313065 -23.0782,43.966735 -23.0782,43.966735 -17.773,38.313065 -17.773,38.313065 -23.0782))			Inverse-S Sigmoid	null	null	7.31663	null	null
SG	2013-09-12T04:28:56	POINT(301.4004 -559.4706)	POLYGON((263.6028 -596.7558,322.1826 -593.8386,339.6594 -520.6992,277.9032 -523.7664,263.6028 -596.7558))		POINT(21.1255 -29.0721)	POLYGON((18.911555 -31.778925,23.339445 -31.778925,23.339445 -26.365275,18.911555 -26.365275,18.911555 -31.778925))			Forward-S Sigmoid	null	null	7.05228	null	null
