event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-10-27T16:37:46	POINT(883.2 38.4)	POLYGON((844.8 0,921.6 0,921.6 76.8,844.8 76.8,844.8 0))		POINT(66.247276 4.2184959)	POLYGON((60.870197 2.340875,72.414861 1.453343,73.368723 5.946636,61.534247 6.855484,60.870197 2.340875))			139.156	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T17:05:34	POINT(883.2 38.4)	POLYGON((768 0,921.6 0,921.6 76.8,768 76.8,768 0))		POINT(66.246492 4.217799)	POLYGON((52.562943 2.921195,72.413892 1.452865,73.367571 5.946168,53.106117 7.443553,52.562943 2.921195))			90.6583	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T17:26:34	POINT(960 268.8)	POLYGON((844.8 153.6,998.4 153.6,998.4 307.2,844.8 307.2,844.8 153.6))		POINT(88.944873 15.609799)	POLYGON((62.909819 11.346048,89.541854 8.738529,88.814392 17.06487,68.630318 20.32481,62.909819 11.346048))			306.493	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T17:38:46	POINT(-576 -268.8)	POLYGON((-614.4 -307.2,-537.6 -307.2,-537.6 -153.6,-614.4 -153.6,-614.4 -307.2))		POINT(-37.468548 -12.31379)	POLYGON((-41.005725 -14.89042,-34.966295 -14.567394,-33.833775 -5.139547,-39.553994 -5.430607,-41.005725 -14.89042))			39.7833	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T17:50:34	POINT(883.2 115.2)	POLYGON((844.8 76.8,1075.2 76.8,1075.2 230.4,844.8 230.4,844.8 76.8))		POINT(67.443217 8.7021469)	POLYGON((61.532334 6.853246,89.925877 4.09369,89.247051 12.074481,65.157385 15.833544,61.532334 6.853246))			572.984	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T18:32:58	POINT(-576 -192)	POLYGON((-614.4 -307.2,-537.6 -307.2,-537.6 -153.6,-614.4 -153.6,-614.4 -307.2))		POINT(-36.835771 -7.6005031)	POLYGON((-41.0058 -14.892889,-34.966388 -14.570103,-33.833565 -5.142398,-39.55373 -5.433238,-41.0058 -14.892889))			46.0723	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T19:02:58	POINT(-576 -192)	POLYGON((-614.4 -230.4,-537.6 -230.4,-537.6 -153.6,-614.4 -153.6,-614.4 -230.4))		POINT(-36.835686 -7.6020068)	POLYGON((-40.090032 -10.105503,-34.250036 -9.802359,-33.833449 -5.143977,-39.553584 -5.434696,-40.090032 -10.105503))			39.88	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T19:30:46	POINT(-576 -192)	POLYGON((-614.4 -230.4,-537.6 -230.4,-537.6 -153.6,-614.4 -153.6,-614.4 -230.4))		POINT(-36.835606 -7.6034008)	POLYGON((-40.089983 -10.106818,-34.250005 -9.80379,-33.833341 -5.145441,-39.553449 -5.436046,-40.089983 -10.106818))			33.0345	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T20:13:22	POINT(-576 -192)	POLYGON((-614.4 -230.4,-537.6 -230.4,-537.6 -153.6,-614.4 -153.6,-614.4 -230.4))		POINT(-36.835484 -7.6055377)	POLYGON((-40.089908 -10.108832,-34.249959 -9.805984,-33.833177 -5.147684,-39.553242 -5.438117,-40.089908 -10.108832))			34.7622	erg/cm/cm/s	null		null		null		null	
FL	2013-10-27T20:42:34	POINT(960 192)	POLYGON((921.6 153.6,998.4 153.6,998.4 230.4,921.6 230.4,921.6 153.6))		POINT(89.316959 11.292624)	POLYGON((75.675397 10.356817,89.535335 8.737927,89.171685 12.971282,80.229013 14.651305,75.675397 10.356817))			141.098	erg/cm/cm/s	null		null		null		null	
