event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2013-11-13T01:25:07	POINT(-62.4502 960.271)	POLYGON((-166.5 946.5,20.1 946.5,20.1 968.7,-166.5 968.7,-166.5 946.5))	POLYGON((-166.5 953.7,-164.7 954.3,-23.1 968.7,16.5 968.7,16.5 957.9,-166.5 953.7))	POINT(-40.661993 84.331399)	POLYGON((-63.449024 78.941178,7.007049 80.22765,69.248884 88.730226,-74.181098 79.859634,-63.449024 78.941178))	POLYGON((-86.883899 80.101547,-88.651525 80.221219,-68.122977 88.529357,70.027986 88.962825,9.094001 83.824554,-86.883899 80.101547))	SPoCA_v1.0_CH_0000012655
CH	2013-11-13T01:25:07	POINT(-513.786 812.516)	POLYGON((-542.1 800.7,-494.7 800.7,-494.7 831.3,-542.1 831.3,-542.1 800.7))	POLYGON((-542.1 801.9,-541.5 802.5,-496.5 831.3,-501.3 806.7,-542.1 801.9))	POINT(-80.262781 57.504736)	POLYGON((-86.317164 55.94609,-68.505241 56.794249,-86.804214 59.285348,-85.804744 56.791263,-86.317164 55.94609))	POLYGON((-87.855701 55.996234,-88.143699 56.045271,-88.516913 59.200718,-72.63486 57.240449,-87.855701 55.996234))	SPoCA_v1.0_CH_0000012646
CH	2013-11-13T01:25:07	POINT(145.3 951.27)	POLYGON((72.3 938.1,206.1 938.1,206.1 965.7,72.3 965.7,72.3 938.1))	POLYGON((72.3 965.7,72.9 965.7,200.1 947.7,172.5 938.1,72.3 965.7))	POINT(63.274357 80.34836)	POLYGON((20.964315 77.986401,66.941903 76.653773,77.155967 77.638894,87.331995 85.720658,20.964315 77.986401))	POLYGON((87.331995 85.720658,88.033886 85.687247,89.845907 78.094554,53.230248 77.180892,87.331995 85.720658))	SPoCA_v1.0_CH_0000012686
CH	2013-11-13T01:25:07	POINT(-251.649 929.879)	POLYGON((-284.1 918.9,-215.1 918.9,-215.1 942.3,-284.1 942.3,-284.1 918.9))	POLYGON((-284.1 918.9,-283.5 919.5,-239.1 938.7,-215.7 937.5,-284.1 918.9))	POINT(-75.352887 74.450389)	POLYGON((-74.50807 72.312374,-50.394649 73.286502,-81.407239 77.041575,-80.851339 72.999736,-74.50807 72.312374))	POLYGON((-74.50807 72.312374,-75.06979 72.399207,-89.852209 75.729092,-70.507363 76.360366,-74.50807 72.312374))	SPoCA_v1.0_CH_0000012685
CH	2013-11-13T01:25:07	POINT(186.415 -944.471)	POLYGON((133.5 -957.9,234.3 -957.9,234.3 -933.3,133.5 -933.3,133.5 -957.9))	POLYGON((133.5 -957.9,136.5 -957.3,159.9 -942.9,234.3 -938.7,133.5 -957.9))	POINT(47.370635 -74.863185)	POLYGON((46.583716 -79.078836,76.53605 -75.859336,53.32193 -72.477336,25.397559 -71.299405,46.583716 -79.078836))	POLYGON((46.583716 -79.078836,46.696872 -78.851509,36.600995 -73.958493,62.791071 -74.241351,46.583716 -79.078836))	SPoCA_v1.0_CH_0000012619
CH	2013-11-13T01:25:07	POINT(438.476 497.428)	POLYGON((320.1 455.7,548.1 455.7,548.1 536.1,320.1 536.1,320.1 455.7))	POLYGON((320.1 519.3,320.7 519.9,369.3 536.1,489.3 511.5,537.3 526.5,543.9 483.9,455.7 455.7,372.3 466.5,320.1 519.3))	POINT(32.643726 33.345304)	POLYGON((22.497549 30.757243,40.723829 30.279929,43.941109 35.691511,24.066146 36.239652,22.497549 30.757243))	POLYGON((23.692552 35.067875,23.752333 35.108534,28.034628 36.153566,37.441611 34.178995,42.448737 35.065698,41.336042 32.159946,32.926054 30.514575,26.621842 31.394362,23.692552 35.067875))	SPoCA_v1.0_CH_0000012552
CH	2013-11-13T01:25:07	POINT(178.917 -666.978)	POLYGON((134.7 -722.1,227.7 -722.1,227.7 -609.9,134.7 -609.9,134.7 -722.1))	POLYGON((134.7 -692.7,135.3 -692.1,153.9 -670.5,158.1 -629.7,203.7 -612.3,227.7 -654.9,200.7 -672.3,188.1 -722.1,162.9 -721.5,134.7 -692.7))	POINT(13.95247 -40.299967)	POLYGON((11.278268 -44.922927,19.353234 -45.051882,16.784198 -35.874568,9.822912 -35.780151,11.278268 -44.922927))	POLYGON((10.803912 -42.384595,10.843851 -42.334575,12.017184 -40.560445,11.787716 -37.317951,15.000423 -36.027792,17.626539 -39.387272,15.804639 -40.761794,15.868802 -44.988132,13.676313 -44.901362,10.803912 -42.384595))	SPoCA_v1.0_CH_0000012637
CH	2013-11-13T01:25:07	POINT(-169.08 -946.127)	POLYGON((-236.1 -965.1,-63.9 -965.1,-63.9 -930.9,-236.1 -930.9,-236.1 -965.1))	POLYGON((-236.1 -932.7,-235.5 -932.1,-193.5 -932.7,-63.9 -965.1,-236.1 -932.7))	POINT(-42.578304 -75.076251)	POLYGON((-76.538184 -75.857215,-26.902053 -81.628932,-11.358533 -70.479351,-51.380373 -71.855669,-76.538184 -75.857215))	POLYGON((-53.359939 -72.347414,-52.422931 -72.167775,-39.356567 -71.676662,-26.902053 -81.628932,-53.359939 -72.347414))	SPoCA_v1.0_CH_0000012647
CH	2013-11-13T05:25:07	POINT(-516.932 813.944)	POLYGON((-540.3 801.9,-481.5 801.9,-481.5 840.3,-540.3 840.3,-540.3 801.9))	POLYGON((-540.3 803.1,-539.7 803.7,-481.5 840.3,-516.3 802.5,-540.3 803.1))	POINT(-82.875083 57.52584)	POLYGON((-86.212404 56.071616,-65.687126 57.033473,-88.841408 60.232234,-85.759318 57.158889,-86.212404 56.071616))	POLYGON((-87.740959 56.123179,-88.029083 56.172513,-88.841408 60.232234,-75.40721 56.655258,-87.740959 56.123179))	SPoCA_v1.0_CH_0000012646
CH	2013-11-13T05:25:07	POINT(186.183 -944.745)	POLYGON((129.9 -957.3,234.9 -957.3,234.9 -932.7,129.9 -932.7,129.9 -957.3))	POLYGON((129.9 -957.3,131.1 -956.7,181.5 -937.5,231.3 -939.3,129.9 -957.3))	POINT(47.642632 -74.950097)	POLYGON((42.867591 -78.649368,76.680503 -75.824565,52.862722 -72.3225,24.464705 -71.150764,42.867591 -78.649368))	POLYGON((42.867591 -78.649368,42.174237 -78.389071,39.09873 -72.751338,62.046932 -74.340511,42.867591 -78.649368))	SPoCA_v1.0_CH_0000012619
